AMOX 250;AMOXICILINA CÁPSULAS;250MG;10X10 CÁP
AMOX 500;AMOXICILINA CÁPSULAS;500MG;10X10 CÁP
GENERICO NOME;AMOXICILINA + FLUCLOXACILINA CÁPSULAS;250 MG + 250 MG;10X10 CÁP
GENERICO NOME;AMPICILINA CÁPSULAS;250MG;10X10 CÁP
GENERICO NOME;AMPICILINA CÁPSULAS;500MG;10X10 CÁP
GENERICO NOME;AMPICILINA + CLOXACILINA CÁPSULAS;250MG + 250MG;10X10 CÁP
QLINDA 150;CLINDAMICINA CÁPSULAS ;150MG;10X1X10 CÁP
QLINDA 300;CLINDAMICINA CÁPSULAS ;300MG;10X1X10 CÁP
QLINDA 600;CLINDAMICINA CÁPSULAS ;600MG;10X1X10 CÁP
FELOXAM;PIROXICAM CÁPSULAS ;20MG;10 X1 X10CÁP
ANTIEP 75;PREGABALINA CÁPSULAS;75MG;3 X10 CÁP
ANTIEP 150;PREGABALINA CÁPSULAS;150MG;3 X10 CÁP
ANTIEP 300;PREGABALINA CÁPSULAS;300MG;3 X10 CÁP
UNILEXIN 500;CEFALEXINA CÁPSULAS;500MG;10X10 CÁP
Vagiklin;CLINDAMYCIN, CLOTRIMAZOLE CÁPSULAS VAGINAL;100MG+200MG;1 X 3 CÁP
Vagiklin Forte;CLINDAMYCIN, CLOTRIMAZOLE & METRONIDAZOLE  CÁPSULAS VAGINAL;100MG+100MG+100MG;1 X 7 CÁP
ACEPHENICOL;CLORANFINICOL CÁPSULAS;250MG;10X10 CÁP
GENERICO NOME;CLOXACILLIN CÁPSULAS;250 MG;10X10 CÁP
GENERICO NOME;CLOXACILLIN CÁPSULAS;500 MG;10X10 CÁP
DOXQUE;DOXICICLINA CÁPSULAS;100MG;10X10 CÁP
FLUX;FLUCLOXAXILLINA CÁPSULAS (Alu Pouch);500mg;10X1X10 CÁP
IBUNIQUE;IBUPROFENO+PARACETAMOL+ CAFFEINE CÁPSULAS;200MG+325MG+ 40MG;10X10 CÁP
LYCOFIT;LICOPENO COM MULTIVITAMINAS E MULTIMINERAIS CÁPSULAS;NA;3 X10 CÁP
FORTALIQUE PLUS;OMEGA-3 + VITAMINA E CÁPSULAS ;500MG+1MG;2 X10 CÁP
UNIPRAZOLE 20;OMPERAZOL CÁPSULAS;20MG;10X10 CÁP
UNIPRAZOLE 40;OMPERAZOL CÁPSULAS;40MG;10X10 CÁP
PRETGESTAN;PROGESTERONA CÁPSULAS ;100 MG;2 X15 CÁP
PRETGESTAN;PROGESTERONA CÁPSULAS ; 200 MG ;1 X15 CÁP
TETRA-250;TETRACICLINA CÁPSULAS;250MG;10X10 CÁP
TETRA-500;TETRACICLINA CÁPSULAS;500MG;10X10 CÁP
EVAGON;VITAMINA A + VITAMINA E CÁPSULAS ;30000 UI + 70 MG;1 X24 CÁP
E - 200;VITAMINA E  CÁPSULAS ;  200 MG;3 X10 CÁP
