UNICO VITA C;ÁCIDO ASCÓRBICO ( VITAMINA C ) NAO REVESTIDO MASTIGÁVEL COMP;500MG;10X10 COMP
FOLINEED;ÁCIDO FÓLICO;5 MG;10X10 COMP
UNIDIXIC;ÁCIDO NALIDIXICO;500MG;10X10 COMP
WORMINIX;ALBENDAZOL COMP;400MG;20 X 1 X 1 COMP
AMINOBRON;AMINOFILINA COMP;100MG;10X10 COMP
AMLOTRIX 10;AMLODIPINA COMP;10MG;10X10 COMP
UNICLAV 1000;AMOXICILLINA+ ÁCIDO CLAVULÂNICO COMP;875MG + 125MG;1 X 10 COMP
UNITRIP 10;AMITRIPTILINA;10MG;10X10 COMP
LUTHER JUNIOR DISPERSÍVEL;ARTEMETÉR+ LUMEFANTRINA COMP DISPERSÍVEL;20MG+120MG;1X6X10 COMP
LUTHER FORTE DISPERSÍVEL;ARTEMETÉR+ LUMEFANTRINA COMP DISPERSÍVEL;40MG+240MG;1X6 COMP
LUTHER DP DISPERSÍVEL;ARTEMETÉR+ LUMEFANTRINA COMP DISPERSÍVEL;80MG+480MG;1X6 COMP
START;ARTESUNATE  COMP;100MG;10 x 1 x 6 COMP
NOVASPRIN;ASPIRINA COMP;100MG;10X10 COMP
AZICIN 500;AZITROMICINA COMP;500MG;5X1X3 COMP
LAXAQUE;BISACODIL COMP;5MG;10X10 COMP
UNIPRIL 25;CAPTOPRIL COMP;25MG;10X10 COMP
GENERICO NOME;CEFIXIME DISPERSÍVEL COMP;200MG;10X10 COMP
GENERICO NOME;CEFIXIME DISPERSÍVEL COMP;400MG;10X10 COMP
CIPROQUE;CIPROFLOXACINA COMP;500MG;10X10 COMP
CYPROPLEX C4;CIPROHEPTADINA COMP;4MG;50X2X10 COMP
DZIRE 100;CITRATO DE SILDENAFIL COMP;100MG;10X2X4 COMP
DZIRE 50;CITRATO DE SILDENAFIL COMP;50MG;10X2X4 COMP
Q-CLAR 250;CLARITROMICINA COMP;250MG;10X1X10 COMP(alu-alu)
CADNIL;CLOPIDOGREL COMP;75MG;2X14 COMP
ACETRIM 480;CO-TRIMOXAZOL  COMP;480MG;10X10 COMP
ACETRIM 960;CO-TRIMOXAZOL  COMP;960MG;10X10 COMP
