HAMACCEL;3,5% DE SOLUÇÃO DE INFUSÃO COLOIDAL DE POLIGELINA COM ELECTROLITOS PARA ADMINISTRAÇÃO INTERAVENOSA ;3.5%/500ML;500ML/BALÃO
CIPRO-IV;CIPROFLOXACINA INFUSÃO ;200MG/100 ML;100ML/BALÃO
TOPGYL-IV;METRONIDAZOL INFUSÃO  ;05MG/100 ML;100ML/BALÃO
OFLOQ-IV;OFLOXACINA INFUSÃO;200 MG /100 ML;100ML/BALÃO
OFLOQ-OZ;OFLOXACINA & ORNIDAZOL INFUSÃO;200MG + 500MG /100 ML;100ML/BALÃO
PERFAC-IV;PARACETAMOL INFUSÃO;10MG/ML;100ML/BALÃO
UNITOL 10%;MANITOL INFUSÃO;10%;100ML/BALÃO
NS;CLORETO DE SÓDIO 0.9%W/V INFUSÃO INTRAVENOSA ;0.9% /500ML;500ML/BALÃO
DNS;CLORETO DE SODIO 0.9% W/V E GLUCOSE 5% W/V INFUSÃO;0.9% + 5% /500ML;500ML/BALÃO
D10;GLUCOSE 10% W/V INFUSÃO INTRAVENOSA ;10% /500ML;500ML/BALÃO
UNIRAL;SORO ORAL ;21.5GRAMS;30 SACHÊS
