UNICO VITA-C INJEÇÃO;ÁCIDO ASCÓRBICO INJEÇÃO    (VITAMINA C);500MG/5ML;100 AMPOLAS
EXASEAL;ÁCIDO TRANECÃMICO ANTIFIBRINOLÍTICOS INJEÇÃO ;500MG/5 ML;5 AMPOLAS
GENERICO NOME;ADRENALINA TARTARATO DE ÁCIDO INJEÇÃO;1MG/1ML;100 AMPOLAS
GENERICO NOME;ÁGUA PARA INJEÇÃO;10ML;50 FRASCO
HERPIRAX 250;ACICLOVIR INJEÇÃO;250MG;1 BORBO COM ÁGUA
HERPIRAX 500;ACICLOVIR INJEÇÃO;500MG;1 BORBO COM ÁGUA
UNIPHYLLIN;AMINOFILINA DE INJEÇÃO;25MG/ML;10 AMPOLAS
GENERICO NOME;AMOXICILINA INJEÇÃO;1GM;50 FARSCOS
UNICLAV 600MG;AMOXICILLINA+ ÁCIDO CLAVULÂNICO INJEÇÃO + 10ML ÁGUA  DESTILADA;600 MG;1 FRASCO
UNICLAV 1.2GM;AMOXICILLINA+ ÁCIDO CLAVULÂNICO INJEÇÃO + 10ML ÁGUA  DESTILADA;1.2 GM;1 FRASCO
GENERICO NOME;AMPICILINA INJEÇÃO;500 MG;50 FARSCOS
GENERICO NOME;AMPICILINA INJEÇÃO;1GM;50 FARSCOS
LUTHER 20MG INJEÇÃO;ARTEMETÉR INJEÇÃO;20MG/ML;6 AMPOLAS
LUTHER 40MG INJEÇÃO;ARTEMETÉR INJEÇÃO;40MG/ML;6 AMPOLAS
LUTHER 80MG INJEÇÃO;ARTEMETÉR INJEÇÃO;80MG/ML;6 AMPOLAS
START-30;ARTESUNATO INJEÇÃO;30MG PACOTE COMBINDAO;1 FARSCO PACOTE COMBINDO
START-180;ARTESUNATO INJEÇÃO;180MG PACOTE COMBINDAO;1 FARSCO PACOTE COMBINDO
START-240;ARTESUNATO INJEÇÃO;240MG PACOTE COMBINDAO;1 FARSCO PACOTE COMBINDO
GENERICO NOME;BENZILO PENICILINA 1GM INJEÇÃO(PENICILINA CRISTALIZADA);1,000,000UI;50 FARSCOS
BUSCOCINE;BROMETO DE HIPOSSINA E BUTILO INJ( HIOSCINA BUTYLBROMIDE);10MG/ML;100 AMPOLAS
GENERICO NOME;CEFAZOLINA INJEÇÃO; 1GM ;50 FARSCOS
OUICEF;CEFOTAXIMA 1GM   + 10ML ÁGUA  DESTILADA;1GM;1 FARSCO
INSTACEF;CEFEPIMA 1GM  + 10ML ÁGUA  DESTILADA;1GM;1 FARSCO
GENERICO NOME;CIANOCOBALAMINA INJEÇÃO(VITAMINA B12);1000MCG/2ML;100 AMPOLAS
CERVOLINE 500;CITICOLINA PSICOESTIMULANTE/NOOTRÓPICO INJEÇÃO ;500MG/4 ML;5 AMPOLAS
CERVOLINE 1000;CITICOLINA PSICOESTIMULANTE/NOOTRÓPICO INJEÇÃO ;1000MG/4 ML;5 AMPOLAS
QLINDA 150;CLINDAMICINA  INJEÇÃO;150MG/1 ML;10 AMPOLAS
QLINDA 300;CLINDAMICINA  INJEÇÃO;300MG/2 ML;10 AMPOLAS
QLINDA 600;CLINDAMICINA  INJEÇÃO;600MG/4 ML;10 AMPOLAS
GENERICO NOME;CLORANFENICOL SUCCINATO DE SÓDIO INJEÇÃO;1GM;50 FARSCOS
NICARDEX;CLORIDRATO DE NICARDIPINA INJEÇÃO;10MG/10ML;5 AMPOLAS
GENERICO NOME;CLORIDRATO DE TIAMINA INJEÇÃO(VITAMINA B1);100MG/2ML;100 AMPOLAS
GENERICO NOME;CLOXACICLINA INJEÇÃO;1GM;50 FARSCOS
GENERICO NOME;DEXAMETASONA INJEÇÃO;4MG/ML;100 AMPOLAS
GENERICO NOME;DICLOFENAC INJEÇÃO;75MG/3ML;100 AMPOLAS
GENERICO NOME;DIPIRONA(MONO-HIDRO DE SÓDIO DE METAMIZOLO)INJEÇÃO;2.5MG/5ML;100 AMPOLAS
GENERICO NOME;FITONADIONA INJEÇÃO(VITAMINA K1);10MG/ML;100 AMPOLAS
FRUSEMIX;FUROSAMIDA INJEÇÃO;10MG/ML;100 AMPOLAS
GENERICO NOME;GLUCONATO DE CÁLCIO INJEÇÃO;10 %/1G/10ML;5 X 10 AMP
CORTISTAR INJEÇÃO;HIDROCORTISONA INJEÇÃO;100MG;50 FARSCOS
TRIFORT INJEÇÃO;HIDROCLORETO DE TIAMINA(VITA-B1) + HIDROCLORETO DE PIRIDOXINA(VITA-B6) + CINOCOBALAMINA(VITA-B12);100MG + 100MG + 1000MCG;100 AMPOLAS
GENERICO NOME;KANAMICINA INJEÇÃO;1GM;25 FARSCOS
GENERICO NOME;METOCLOPRAMIDA INJEÇÃO;10MG/2ML;100 AMPOLAS
GENERICO NOME;SULFATO DE ATROPINA;1MG/1ML;100 AMPOLAS
GASTRINIX;SULFATO DE MAGNÉSIO INJEÇÃO 10%;1GM/ML;10 AMPOLAS
VITA UNI B-COMP;VITAMINA B COMPLEXO INJEÇÃO;2 ML;100 AMPOLAS
