GENERICO NOME;ADESIVO PERFURADO;10CM X 5M;1 ROLOS
GENERICO NOME;ADESIVO PERFURADO;18CM X 5M;1 ROLOS
GENERICO NOME;ADHESIVO OXIDO DE ZINCO;2.5CM*5M;12 ROLOS
GENERICO NOME;ADHESIVO OXIDO DE ZINCO;5CM* 5CM;6 ROLOS
GENERICO NOME;AGULHA ESPINHAL;18G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;19G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;21G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;22G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;23G;50 PEÇAS
GENERICO NOME;AGULHA DESCARTÁVEL (ESTÉRIL);20G;100 PEÇA
GENERICO NOME;AGULHA DESCARTÁVEL (ESTÉRIL);21G;100 PEÇA
GENERICO NOME;AGULHA DESCARTÁVEL (ESTÉRIL);22G;100 PEÇA
GENERICO NOME;ALGODÃO;500GMS;1 ROLO
GENERICO NOME;APARELHO DE INFUSÃO COM BURETA 150CC (SISTEMA DE MICRO GOTAS);NA;1 PEÇA
GENERICO NOME;BORBOLETAS-AGULHA (G21);21G;100 PEÇAS
GENERICO NOME;BORBOLETAS-AGULHA (G23);23G;100 PEÇAS
CÂNULA 16G;BRANULA;16G;100 PEÇAS
CÂNULA 18G;BRANULA;18G;100 PEÇAS
CÂNULA 26G;BRANULA;26G;100 PEÇAS
GENERICO NOME;Andador ortopédico (MULETAS);NA;1 PEÇA
GENERICO NOME;CADEIRA DE RODAS;NA;1 PEÇA
GENERICO NOME;CÂNULA DE OXIGÊNIO NASAL ;ADULTO;1 PEÇA
GENERICO NOME;CÂNULA DE OXIGÊNIO NASAL ;PEDIATRICO;1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 8) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 10) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 12) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 14) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 16) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 18) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 20) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 22) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 24) ( 2 way);1 PEÇA
GENERICO NOME;CATÉTER BALÃO DE FOLEY (ALGALIA); (FG 16) ( 3 way);1 PEÇA
