GENERICO NOME;ADESIVO PERFURADO;10CM X 5M;1 ROLOS
GENERICO NOME;ADESIVO PERFURADO;18CM X 5M;1 ROLOS
GENERICO NOME;ADHESIVO OXIDO DE ZINCO;5CM* 5CM;6 ROLOS
GENERICO NOME;LANCETA PARA COLETA DE SANGUE (PLÁSTICO);PLÁSTICO;100 PEÇAS
GENERICO NOME;GLUCONATO DE CÁLCIO INJEÇÃO;10 %/1G/10ML;5 X 10 AMP
GENERICO NOME;SACO DE COLOSTOMIA;60 mm;1 PEÇA
GENERICO NOME;Compressas de gaze (ESTRIL);5 X 5CM;8 DOBRAS
GENERICO NOME;Compressas de gaze (ESTRIL);7.5 X 7.5CM;8 DOBRAS
GENERICO NOME;Compressas de gaze (ESTRIL);10 X 10CM;8 DOBRAS
GENERICO NOME;LIGADURA;10CM X 10M;12 PEÇAS
GENERICO NOME;LIGADURA;15CM X 10M;12 PEÇAS
GENERICO NOME;ROLO DE GAZE;90CM X 100;100 YARDS
GENERICO NOME;Gel Para Ecografia;250ML;1 X 250ML
GENERICO NOME;GEL DE TRANSMISSÃO DE ULTRA-SOM;250ML;1 X 250ML
GENERICO NOME;Andador ortopédico (MULETAS);NA;1 PEÇA
GENERICO NOME;MÁSCARA DE OXIGÊNIO;ADULTO;1 PEÇA
GENERICO NOME;MÁSCARA DE OXIGÊNIO COM NEBULIZADOR;ADULTO;1 PEÇA
GENERICO NOME;MÁSCARA DE OXIGÊNIO COM NEBULIZADOR;PEDIATRICO;1 PEÇA
GENERICO NOME;AGULHA ESPINHAL;18G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;19G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;21G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;22G;50 PEÇAS
GENERICO NOME;AGULHA ESPINHAL;23G;50 PEÇAS
GENERICO NOME;AGULHA DESCARTÁVEL (ESTÉRIL);20G;100 PEÇA
GENERICO NOME;AGULHA DESCARTÁVEL (ESTÉRIL);21G;100 PEÇA
GENERICO NOME;AGULHA DESCARTÁVEL (ESTÉRIL);22G;100 PEÇA
GENERICO NOME;ESPÉCULO VAGINAL M;NA;1 PEÇA
WORMINIX;ALBENDAZOL COMP;400MG;20 X 1 X 1 COMP
LAXAQUE;BISACODIL COMP;5MG;10X10 COMP
METOPRIX 5;METOCLOPRAMIDA COMP;5MG;10X10 COMP
METOPRIX 10;METOCLOPRAMIDA COMP;10MG;10X10 COMP
QLINDA 150;CLINDAMICINA CÁPSULAS ;150MG;10X1X10 CÁP
FASTRIM KIT;FLUCONAZOL + AZITROMICINA + SECDINAZOL COMP;150MG + 1G + 1G;KIT DE 4 COMP
ANTIEP 75;PREGABALINA CÁPSULAS;75MG;3 X10 CÁP
ANTIEP 150;PREGABALINA CÁPSULAS;150MG;3 X10 CÁP
ANTIEP 300;PREGABALINA CÁPSULAS;300MG;3 X10 CÁP
GENERICO NOME;AMOXICILINA + FLUCLOXACILINA CÁPSULAS;250 MG + 250 MG;10X10 CÁP
GENERICO NOME;AMPICILINA + CLOXACILINA CÁPSULAS;250MG + 250MG;10X10 CÁP
GENERICO NOME;CLOXACILLIN CÁPSULAS;250 MG;10X10 CÁP
GENERICO NOME;CLOXACILLIN CÁPSULAS;500 MG;10X10 CÁP
GENERICO NOME;AMPICILINA + CLOXACILINA SUSPENSÃO;125 MG + 125 MG;60ML/FRASCO
LUTHER JUNIOR DISPERSÍVEL;ARTEMETÉR+ LUMEFANTRINA COMP DISPERSÍVEL;20MG+120MG;1X6X10 COMP
LUTHER FORTE DISPERSÍVEL;ARTEMETÉR+ LUMEFANTRINA COMP DISPERSÍVEL;40MG+240MG;1X6 COMP
LUTHER DP DISPERSÍVEL;ARTEMETÉR+ LUMEFANTRINA COMP DISPERSÍVEL;80MG+480MG;1X6 COMP
OFLOQ;OFLOXACINA COMP;200MG;2X10 COMP
