BENZOSOL;BENZOATO DE BENZILO;25%/100ML;100ML/APLICAÇÃO
RINZFRESH;COLUTÓRIO SOLUÇÃO PARA BOCHECHAR;150ML;150ML
GENERICO NOME;GEL PARA ECOGRAFIA;250ML;1 X 250ML
GENERICO NOME;GEL DE TRANSMISSÃO DE ULTRA-SOM;250ML;1 X 250ML
GEEMITTOL;SOLUÇÃO ANTISSÉPTICA;100ML;100ML/FRASCO
UNICALAMINA;CALAMINA LOÇÃO;100ML;100ML
KETOCASPA;KETOCONAZOL CHAMPÔ;100ML;100ML
CLOTRISAN;COTRIMAZOL PÓ;50MG;50MG/PEÇA
MEU-AMOR;PRESERVATIVOS DE LUXO-MEU AMOR-MULTI TEXTURA                        ( BANANA + MORANGO + SIMPLES );1x3 PEÇAS X 12.EB;1 x 3 x12 PEÇAS = 36 PEÇAS
MEU-AMOR;PRESERVATIVOS DE LUXO-MEU AMOR-ULTRA FINO                               (BANANA + MORANGO + SIMPLES );1x3 PEÇAS X 12.EB;1 x 3 x12 PEÇAS = 36 PEÇAS
MEU-AMOR;PRESERVATIVOS DE LUXO-MEU AMOR-PONTO MAIS NÍTIDOS (BANANA + MORANGO + SIMPLES );1x3 PEÇAS X 12.EB;1 x 3 x12 PEÇAS = 36 PEÇAS
MEU-AMOR GEL ORAL;SILDENAFIL GEL ORAL (MORANGO+BANANA);2 SACHÊS GEL ORAL;10X1X2 SACHÊS
