LAXAQUE;BISACODIL SUPOSITÓRIOS;10 MG ;1 X 6 SUPOSITÓRIOS
UNISPA;BUTILESCOPOLAMINA BROMETO SUPOSITÓRIOS (BUSCOPAN);10 MG ;1 X 6 SUPOSITÓRIOS
DICQUE;DICLOFENAC SUPOSITÓRIOS;50 MG ;2 X 5 SUPOSITÓRIOS
DICQUE;DICLOFENAC SUPOSITÓRIOS;100 MG ;2 X 5 SUPOSITÓRIOS
GLYCERACE;GLICERINA SUPOSITÓRIOS;1GM ;2 X 5 SUPOSITÓRIOS
CORTISTAR;HEMORROIDAL SUPOSITÓRIOS(HIDROCORTISONA);NA;2 X 5 SUPOSITÓRIOS
INDONIQUE;INDOMETACINA SUPOSITÓRIOS;50 MG ;2 X 5 SUPOSITÓRIOS
INDONIQUE;INDOMETACINA SUPOSITÓRIOS;100 MG ;2 X 5 SUPOSITÓRIOS
TOPGYL;METRONIDAZOL VAGINAIS SUPOSITÓRIOS;500MG ;2 X 5 SUPOSITÓRIOS
PERFAC;PARACETAMOL SUPOSITÓRIOS;125 MG;2 X 5 SUPOSITÓRIOS
PERFAC;PARACETAMOL SUPOSITÓRIOS;250 MG;2 X 5 SUPOSITÓRIOS
