AMOX 125;AMOXICILINA SUSPENSÕ;125MG/5ML;60ML/FRASCO
AMOX 250;AMOXICILINA SUSPENSÕ;250 MG/5ML;60ML/FRASCO
UNICLAV;AMOXICILLINA+ ÁCIDO CLAVULÂNICO SUSPENSÕ;200MG + 28.5MG;100ML/FRASCO
GENERICO NOME;AMPICILINA SUSPENSÕ;125MG/5ML;60ML/FRASCO
GENERICO NOME;AMPICILINA + CLOXACILINA SUSPENSÃO;125 MG + 125 MG;60ML/FRASCO
AZICIN-S;AZITROMICINA SUSPENSÃO;250 MG/5ML;15ML/FRASCO
BROMEXINA;BROMOVAN XAROPE;100 ML;100ML/FRASCO
UNILEXIN 125;CEFALEXINA SUSPENSÃO;125 MG;60ML/FRASCO
UNILEXIN 250;CEFALEXINA SUSPENSÃO;250 MG;60ML/FRASCO
CYPROPLEX C4;CIPROHEPTADINA XAROPE;2MG/5ML;100ML/FRASCO
ACEPHENICOL;CLORANFENICOL SUSPENSÃO;125MG/5ML;60ML/FRASCO
MUCOCLEAR;CLORIDRATO DE AMBROXOL XAROPE (ADULTO);30MG/5ML;100ML/FRASCO
MUCOCLEAR;CLORIDRATO DE AMBROXOL XAROPE (INFANTIL);15MG/5ML;100ML/FRASCO
ACETRIM;CO-TRIMOXAZOL SUSPENSÕ;240MG;100ML/FRASCO
ERINOCIN 125;ERITROMICINA SUSPENSÃO ;125 mg/5 ml;100ML/FRASCO
ERINOCIN 250;ERITROMICINA SUSPENSÃO ;250 mg/5 ml;100ML/FRASCO
FLUX 125;FLUCLOXACILLINA SUSPENSÕ;125MG/5ML;100ML/FRASCO
FLUX 250;FLUCLOXACILLINA SUSPENSÕ;250MG/5ML;100ML/FRASCO
IPRO;IBUPROFENO SUSPENSÕ;100MG/5ML;100ML/FRASCO
LYCOFIT;LICOPENO COM MULTIVITAMINAS E MULTIMINERAIS SUSPENSÃO;200ML;200ML/FRASCO
MBEN;MEBENDAZOL SUSPENSÃO;100MG/5ML;30ML/FRASCO
REQUISIVIT;MULTIVITAMINA XAROPE;100 ML;100ML/FRASCO
UNITRON;ONDANSETRON XAROPE ;4MG/5ML;60ML/FRASCO
ACEMOL C;PARACETAMOL+VITAMINA C XAROPE ;25MG+ 10MG/5ML;100ML/FRASCO
SALBUREST;SALBUTAMOL ORAL SOLUÇÃO;2MG/5ML;100ML/FRASCO
